Name,Number,Material Name,Serial Number,Tag,Record Status,Operational Status,Location,Cabinet Name,Mounting Side,Type,Sub-Status
ST73IN61P5AS-NEW,47860,Cisco Nexus 56128P Switch,FOC1836R2L3,5000008200,Active,Operational,Ashburn\OCE\1\POD 5,5AQ049,Front,Network,
SL73ANAHDP1443,51978,HP ProLiant DL380 Gen9,USE518P9C4,5000006362,Active,Operational,Ashburn\OCE\1\POD 5,5AO049,Front,Server,
SL73ANAHDP1445,51979,HP ProLiant DL380 Gen9,USE518P9AY,5000006363,Active,Operational,Ashburn\OCE\1\POD 5,5AO049,Front,Server,
SL73OPRHDP1243,51980,HP ProLiant DL380 Gen9,USE518P9CB,5000006296,Active,Operational,Ashburn\OCE\1\POD 5,5AP049,Front,Server,
SL73OPRHDP1245,51981,HP ProLiant DL380 Gen9,USE518P9BR,5000006297,Active,Operational,Ashburn\OCE\1\POD 5,5AP049,Front,Server,
2BA029 41B TEMP,67930,Allied Telesis AT-9924T,ALT17130300213,5000001124,Active,Operational,Ashburn\OCE\1\POD 2,2BA029,Back,Network,
2BA029 39B TEMP,67932,Allied Telesis AT-9924T,ALT17114600212,5000001123,Active,Operational,Ashburn\OCE\1\POD 2,2BA029,Back,Network,
RT73GNELAB182P1,68108,Cisco ASR 1006,FXS1807Q6LH,5000001279,Active,Operational,Ashburn\OCE\1\POD 1,1AP010,Front,Chassis,
SA73EDWASP01,81134,IBM Power 740 Express (8205-E6B) (Rack),103029P,1000094056,Active,Operational,Ashburn\OCE\1\POD 5,5BP033,Front,Server,
SA73CMLSP26,81135,IBM Power 740 Express (8205-E6B) (Rack),10302FP,1000094053,Active,Operational,Ashburn\OCE\1\POD 5,5AT039,Front,Server,
ST73NPHDP01P2SP,95891,Arista DCS-7050QX-32S-R,SSJ17352638,5000018626,Active,Operational,Ashburn\OCE\1\POD 2,2BL034,Back,Network,
ST73NPHDP02P2SP,95892,Arista DCS-7050QX-32S-R,SSJ17352703,5000018627,Active,Operational,Ashburn\OCE\1\POD 2,2BL034,Back,Network,
ST73NPHDP03P2SP,95893,Arista DCS-7050QX-32S-R,SSJ17352698,5000018628,Active,Operational,Ashburn\OCE\1\POD 2,2BL034,Back,Network,
ST73NPHDP04P2SP,95894,Arista DCS-7050QX-32S-R,SSJ17352787,5000018629,Active,Operational,Ashburn\OCE\1\POD 2,2BL034,Back,Network,
NBBKP2.3,96424,HP 8360-10,75842,1000094426,Active,Operational,Ashburn\OCE\1\POD 5,5BH024,Front,Chassis,
FC73SW87H033P5,96761,EMC Connectrix DS-6520B,BRCCHQ4052M02M,5000019828,Active,Operational,Ashburn\OCE\1\POD 5,5BD033,Front,Network,
FC73SW88H033P5,96762,EMC Connectrix DS-6520B,BRCCHQ4052M02K,5000019829,Active,Operational,Ashburn\OCE\1\POD 5,5BE033,Front,Network,
